! NUMBER OF COLLISION TEMPERATURES
8
! COLLISION TEMPERATURES
 15.0    25.0    50.0    75.0   100.0   150.0   200.0   300.0
! TRANS + UP + LOW + RATE COEFFS(cm^3 s^-1)
   51   11   2   3.0E-13 2.7E-13 2.6E-13 2.7E-13 3.0E-13 3.8E-13 4.8E-13 7.0E-13
   52   11   3   6.1E-12 6.1E-12 6.6E-12 7.4E-12 8.4E-12 1.1E-11 1.3E-11 1.8E-11
   53   11   6   2.1E-11 2.1E-11 2.2E-11 2.3E-11 2.4E-11 2.7E-11 2.9E-11 3.2E-11
   54   11   5   2.5E-12 2.2E-12 1.9E-12 1.9E-12 2.0E-12 2.5E-12 3.0E-12 4.2E-12
   55   11   4   5.8E-12 5.6E-12 5.5E-12 5.7E-12 5.9E-12 6.5E-12 7.2E-12 8.7E-12
   56   11   9   8.0E-12 6.7E-12 4.2E-12 3.1E-12 2.5E-12 2.0E-12 1.9E-12 1.9E-12
   57   11   7   3.1E-11 3.1E-11 3.3E-11 3.5E-11 3.7E-11 4.2E-11 4.7E-11 5.6E-11
   58   11   8   6.4E-12 6.3E-12 5.8E-12 5.6E-12 5.6E-12 5.8E-12 6.1E-12 6.9E-12
   59   11  10   5.4E-11 5.3E-11 5.3E-11 5.3E-11 5.4E-11 5.7E-11 6.0E-11 6.7E-11
   60   10   1   2.4E-13 2.4E-13 2.5E-13 2.8E-13 3.2E-13 4.1E-13 5.1E-13 7.4E-13
   61   10   2   3.3E-12 3.4E-12 3.7E-12 4.1E-12 4.6E-12 5.7E-12 6.9E-12 9.2E-12
   62   10   3   4.8E-12 4.9E-12 5.1E-12 5.4E-12 5.7E-12 6.2E-12 6.7E-12 7.5E-12
   63   10   6   2.4E-12 2.3E-12 2.4E-12 2.7E-12 3.1E-12 3.9E-12 4.9E-12 6.8E-12
   64   10   5   5.4E-12 5.3E-12 5.2E-12 5.4E-12 5.7E-12 6.3E-12 7.0E-12 8.4E-12
   65   10   4   2.3E-12 1.9E-12 1.7E-12 1.7E-12 1.8E-12 2.2E-12 2.7E-12 3.7E-12
   66   10   9   3.3E-11 3.3E-11 3.4E-11 3.6E-11 3.7E-11 4.1E-11 4.5E-11 5.1E-11
   67   10   7   6.4E-12 6.4E-12 6.4E-12 6.4E-12 6.6E-12 7.1E-12 7.7E-12 9.0E-12
   68   10   8   3.1E-11 3.1E-11 3.2E-11 3.4E-11 3.7E-11 4.2E-11 4.7E-11 5.6E-11
   69   17   1   9.3E-15 9.8E-15 1.2E-14 1.5E-14 2.0E-14 3.1E-14 4.8E-14 9.4E-14
   70   17   2   7.7E-14 8.0E-14 9.2E-14 1.1E-13 1.4E-13 2.2E-13 3.2E-13 6.0E-13
   71   17   3   1.7E-13 1.7E-13 2.0E-13 2.4E-13 2.8E-13 3.9E-13 5.0E-13 7.5E-13
   72   17   6   1.4E-12 1.5E-12 1.7E-12 2.0E-12 2.2E-12 2.8E-12 3.5E-12 4.7E-12
   73   17   5   3.2E-13 3.4E-13 3.9E-13 4.6E-13 5.5E-13 7.6E-13 1.0E-12 1.6E-12
   74   17   4   1.6E-13 1.7E-13 2.0E-13 2.4E-13 3.0E-13 4.4E-13 6.1E-13 1.0E-12
   75   17   9   3.6E-13 3.8E-13 4.4E-13 5.3E-13 6.4E-13 9.3E-13 1.3E-12 2.1E-12
   76   17   7   1.0E-12 1.0E-12 1.2E-12 1.3E-12 1.5E-12 1.8E-12 2.2E-12 3.1E-12
   77   17   8   2.4E-12 2.5E-12 2.8E-12 3.3E-12 3.8E-12 5.0E-12 6.4E-12 9.3E-12
   78   17  14   4.2E-11 4.3E-11 4.6E-11 4.9E-11 5.3E-11 6.0E-11 6.8E-11 8.2E-11
   79   17  11   5.9E-12 6.0E-12 6.5E-12 7.4E-12 8.5E-12 1.1E-11 1.4E-11 2.0E-11
   80   17  10   1.0E-11 1.0E-11 1.1E-11 1.2E-11 1.2E-11 1.5E-11 1.7E-11 2.1E-11
   81   17  15   2.3E-11 2.3E-11 2.5E-11 2.7E-11 3.0E-11 3.6E-11 4.2E-11 5.3E-11
   82   17  16   2.3E-12 2.4E-12 2.8E-12 3.3E-12 4.0E-12 5.6E-12 7.5E-12 1.2E-11
   83   17  13   1.8E-13 1.8E-13 2.1E-13 2.5E-13 3.0E-13 4.4E-13 6.3E-13 1.1E-12
   84   17  12   2.2E-13 2.3E-13 2.7E-13 3.4E-13 4.3E-13 6.7E-13 1.0E-12 1.9E-12
   85   15   1   2.4E-15 2.1E-15 1.5E-15 1.4E-15 1.4E-15 1.6E-15 2.0E-15 3.1E-15
