   64    12     9  4.4e-11 4.6e-11 4.8e-11 4.8e-11 4.9e-11 5.0e-11 5.1e-11 5.4e-11 5.7e-11 6.2e-11 6.6e-11 7.4e-11 7.8e-11 9.1e-11
   65    12    10  5.8e-11 6.5e-11 7.2e-11 7.5e-11 7.6e-11 7.5e-11 7.5e-11 7.5e-11 7.6e-11 8.0e-11 8.4e-11 9.9e-11 1.1e-10 1.3e-10
   66    12    11  9.8e-11 1.1e-10 1.1e-10 1.1e-10 1.0e-10 1.0e-10 9.7e-11 9.5e-11 9.6e-11 9.8e-11 1.0e-10 9.8e-11 9.8e-11 9.7e-11
   67    13     1  1.0e-15 2.6e-15 3.4e-15 3.8e-15 5.1e-15 7.0e-15 1.2e-14 2.5e-14 4.7e-14 1.1e-13 2.0e-13 3.4e-13 4.4e-13 8.1e-13
   68    13     2  2.5e-15 6.2e-15 8.4e-15 9.7e-15 1.4e-14 2.1e-14 3.9e-14 9.9e-14 2.0e-13 4.8e-13 8.3e-13 1.4e-12 1.8e-12 3.2e-12
   69    13     3  1.2e-14 2.8e-14 3.7e-14 4.2e-14 5.4e-14 7.3e-14 1.1e-13 2.2e-13 3.7e-13 7.6e-13 1.2e-12 1.8e-12 2.2e-12 3.6e-12
   70    13     4  2.6e-14 6.5e-14 9.0e-14 1.1e-13 1.5e-13 2.2e-13 3.6e-13 7.2e-13 1.2e-12 2.3e-12 3.5e-12 5.2e-12 6.3e-12 1.0e-11
   71    13     5  8.6e-14 2.1e-13 2.8e-13 3.1e-13 3.8e-13 4.7e-13 6.5e-13 1.0e-12 1.4e-12 2.2e-12 3.0e-12 4.0e-12 4.6e-12 6.5e-12
   72    13     6  3.9e-13 9.7e-13 1.3e-12 1.4e-12 1.7e-12 2.2e-12 2.9e-12 4.4e-12 6.0e-12 9.0e-12 1.2e-11 1.6e-11 1.9e-11 2.7e-11
   73    13     7  7.4e-13 1.8e-12 2.3e-12 2.4e-12 2.6e-12 2.9e-12 3.3e-12 3.9e-12 4.4e-12 5.5e-12 6.6e-12 7.9e-12 8.6e-12 1.1e-11
   74    13     8  3.7e-12 9.0e-12 1.1e-11 1.2e-11 1.3e-11 1.4e-11 1.6e-11 2.0e-11 2.3e-11 2.8e-11 3.3e-11 4.0e-11 4.5e-11 5.8e-11
   75    13     9  5.3e-12 1.3e-11 1.6e-11 1.6e-11 1.6e-11 1.6e-11 1.5e-11 1.5e-11 1.6e-11 1.8e-11 2.0e-11 2.3e-11 2.6e-11 3.2e-11
   76    13    10  1.7e-11 4.1e-11 5.0e-11 5.1e-11 5.1e-11 5.2e-11 5.4e-11 5.7e-11 6.0e-11 6.4e-11 6.8e-11 7.6e-11 8.0e-11 9.3e-11
   77    13    11  3.4e-11 8.2e-11 1.0e-10 9.9e-11 9.3e-11 8.8e-11 8.3e-11 8.0e-11 8.0e-11 8.2e-11 8.6e-11 1.0e-10 1.1e-10 1.3e-10
   78    13    12  3.7e-11 8.9e-11 1.1e-10 1.1e-10 1.0e-10 9.9e-11 9.7e-11 9.6e-11 9.7e-11 9.9e-11 1.0e-10 9.9e-11 9.9e-11 9.8e-11
   79    14     1  1.7e-16 5.8e-16 9.3e-16 1.1e-15 1.6e-15 2.5e-15 4.9e-15 1.3e-14 2.8e-14 8.0e-14 1.5e-13 2.9e-13 3.9e-13 8.0e-13
   80    14     2  1.2e-15 4.0e-15 6.3e-15 7.5e-15 1.0e-14 1.4e-14 2.4e-14 5.2e-14 9.8e-14 2.4e-13 4.3e-13 7.5e-13 9.7e-13 1.8e-12
   81    14     3  2.3e-15 7.6e-15 1.2e-14 1.5e-14 2.1e-14 3.2e-14 5.9e-14 1.4e-13 2.7e-13 6.3e-13 1.1e-12 1.8e-12 2.3e-12 4.2e-12
   82    14     4  8.8e-15 2.9e-14 4.6e-14 5.4e-14 7.2e-14 9.6e-14 1.5e-13 2.8e-13 4.5e-13 9.0e-13 1.4e-12 2.1e-12 2.6e-12 4.1e-12
